"epoch","train_loss","train_acc","val_loss","val_acc","lr"
"1","0.5965381860733032","0.8804159164428711","0.5094599723815918","0.9168111085891724","4.99999987368938E-05"
"2","0.47163790464401245","0.9306759238243103","0.47774794697761536","0.9306759238243103","4.99999987368938E-05"
"3","0.41738128662109375","0.9532062411308289","0.47609150409698486","0.9283651113510132","4.99999987368938E-05"
"4","0.3908987045288086","0.9657093286514282","0.45033618807792664","0.9439630508422852","4.99999987368938E-05"
"5","0.3695899248123169","0.971280038356781","0.4363645911216736","0.9445407390594482","4.99999987368938E-05"
"6","0.3533341586589813","0.97883141040802","0.4450603127479553","0.939919114112854","4.99999987368938E-05"
"7","0.34662678837776184","0.979079008102417","0.42170262336730957","0.9532062411308289","4.99999987368938E-05"
"8","0.3414170444011688","0.9818024039268494","0.39920270442962646","0.9566724300384521","4.99999987368938E-05"
"9","0.3304765820503235","0.9860113859176636","0.4199669361114502","0.9584055542945862","4.99999987368938E-05"
"10","0.31775593757629395","0.9900965690612793","0.3929188549518585","0.9618717432022095","4.99999987368938E-05"
"11","0.309734046459198","0.992201030254364","0.4288810193538666","0.9560947418212891","4.99999987368938E-05"
"12","0.31970494985580444","0.9860113859176636","0.3860023617744446","0.9630271792411804","4.99999987368938E-05"
"13","0.31540533900260925","0.9884872436523438","0.399498850107193","0.9514731168746948","4.99999987368938E-05"
"14","0.30525264143943787","0.9917058944702148","0.37553051114082336","0.9636048674583435","4.99999987368938E-05"
"15","0.30582326650619507","0.9902203679084778","0.3972175419330597","0.9589832425117493","4.99999987368938E-05"
"16","0.29691892862319946","0.9925724267959595","0.3959004282951355","0.9601386189460754","4.99999987368938E-05"
"17","0.2941490709781647","0.9936865568161011","0.3764587938785553","0.9641825556755066","4.99999987368938E-05"
"18","0.29477018117904663","0.9920772314071655","0.38076603412628174","0.9601386189460754","4.99999987368938E-05"
"19","0.29087069630622864","0.9933151602745056","0.38536134362220764","0.9601386189460754","4.99999987368938E-05"
"20","0.28515079617500305","0.9946768879890442","0.39506766200065613","0.9595609307289124","4.99999987368938E-05"
"21","0.2877591550350189","0.992696225643158","0.3981923460960388","0.9566724300384521","4.99999987368938E-05"
"22","0.27718299627304077","0.9978955388069153","0.3734738528728485","0.9636048674583435","2.49999993684469E-05"
"23","0.2729152739048004","0.998266875743866","0.3670826852321625","0.9641825556755066","2.49999993684469E-05"
"24","0.2707267999649048","0.9988858699798584","0.3622131645679474","0.9636048674583435","2.49999993684469E-05"
"25","0.2696739435195923","0.9988858699798584","0.3683129549026489","0.9630271792411804","2.49999993684469E-05"
"26","0.26756951212882996","0.9992572665214539","0.35967907309532166","0.9659156799316406","1.24999996842234E-05"
"27","0.26610007882118225","0.9992572665214539","0.35937654972076416","0.9670710563659668","1.24999996842234E-05"
"28","0.26513707637786865","0.9993810057640076","0.3601546585559845","0.9670710563659668","1.24999996842234E-05"
"29","0.2648732364177704","0.9988858699798584","0.36405155062675476","0.9659156799316406","1.24999996842234E-05"
"30","0.26282966136932373","0.999752402305603","0.36036473512649536","0.9647602438926697","1.24999996842234E-05"
