epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.7502584398503355,0.8186063659825489,0.5059010747604975,0.9445073612684032,9.999999999999999e-06
2,0.541734176723263,0.9219614108393757,0.46187314590268336,0.9558323895809739,1.9999999999999998e-05
3,0.5049249112818478,0.9378149195035025,0.46620061146443453,0.9603624009060022,3e-05
4,0.47646804533910736,0.9477694481995822,0.43639051387696143,0.9597961494903737,2.9901956187258174e-05
5,0.4570655817260053,0.9557576502396461,0.4359446211822441,0.9665911664779162,2.9609150623407448e-05
6,0.4429549635907012,0.9620253164556962,0.42436483046746604,0.9654586636466591,2.912554300139567e-05
7,0.438458496780467,0.9623940027036991,0.4368521095267239,0.9597961494903737,2.8457673284689478e-05
8,0.42970109693509173,0.9654663881037238,0.44000819126314916,0.9637599093997735,2.761457326548758e-05
9,0.41016987896059337,0.9730859038957846,0.4317176756475412,0.9677236693091733,2.660764442522518e-05
10,0.4108103500349275,0.9733316947277867,0.4221560127467828,0.9660249150622876,2.5450503749096638e-05
11,0.39764437454842927,0.9809512105198476,0.41700719139989073,0.9711211778029445,2.41587995796904e-05
12,0.39064598915631726,0.9830404325918644,0.42310981963795957,0.9654586636466591,2.275e-05
13,0.3912440485775258,0.9810741059358485,0.4009478759117602,0.9762174405436014,2.1243156607567775e-05
14,0.374254811391705,0.9905370529679243,0.4624679978274543,0.9456398640996603,1.965864687431081e-05
15,0.37861712851775753,0.9872188767358977,0.41803182575467757,0.9665911664779162,1.8017898576170493e-05
16,0.37597348929345203,0.9894309942239154,0.419762064214471,0.9699886749716874,1.63431000192019e-05
17,0.36500274261517623,0.9934865429519479,0.3941726191802581,0.9807474518686297,1.46568999807981e-05
18,0.3653973406877772,0.9932407521199459,0.4453848785344229,0.9563986409966025,1.2982101423829512e-05
19,0.36239378690661006,0.9942239154479537,0.3922568793205011,0.9807474518686297,1.1341353125689196e-05
20,0.36022780004408517,0.9954528696079636,0.39789031221534493,0.9807474518686297,9.756843392432227e-06
21,0.35860858053880956,0.9963131375199705,0.40372200851937246,0.9756511891279728,8.250000000000004e-06
22,0.35686089051023256,0.9966818237679734,0.3974874805351076,0.9790486976217441,6.841200420309603e-06
23,0.35494645543673914,0.9975420916799803,0.39085123628074153,0.9807474518686297,5.549496250903365e-06
24,0.35516951617626735,0.9975420916799803,0.3916501970550347,0.9813137032842583,4.3923555747748205e-06
25,0.35284550276481796,0.9990168366719921,0.395259762539329,0.9796149490373726,3.3854267345124245e-06
26,0.3523499158950319,0.9990168366719921,0.3875424070779491,0.9818799546998868,2.5423267153105238e-06
27,0.351986042731251,0.9988939412559912,0.3917685255728924,0.9807474518686297,1.8744569986043295e-06
28,0.35211984917047173,0.9991397320879931,0.3873387409093561,0.9824462061155153,1.3908493765925549e-06
29,0.35189101937597445,0.9988939412559912,0.39109271920010835,0.9818799546998868,1.0980438127418262e-06
30,0.3508346141139163,0.9996313137519971,0.3880794591028855,0.9835787089467724,1e-06
